epoch,global_step,train_loss,val_loss,val_r2,best_val_loss,best_epoch,patience_used,patience_limit
1,1250,0.33932672898471355,0.10822200775146484,0.8839902877807617,0.10822200775146484,1,0,8
2,2500,0.08395803022384643,0.06729033589363098,0.9278674125671387,0.06729033589363098,2,0,8
3,3750,0.053821501460671425,0.05962551757693291,0.9360837936401367,0.05962551757693291,3,0,8
4,5000,0.04662248480767012,0.055500634014606476,0.9405055046081543,0.055500634014606476,4,0,8
5,6250,0.044350143563747405,0.05492871627211571,0.941118597984314,0.05492871627211571,5,0,8
6,7500,0.04369160703793168,0.05471251532435417,0.9413503408432007,0.05471251532435417,6,0,8
7,8750,0.04348481928482652,0.054713353514671326,0.941349446773529,0.05471251532435417,6,1,8
8,10000,0.043421576485037805,0.054722677916288376,0.9413394331932068,0.05471251532435417,6,2,8
9,11250,0.04340355515629053,0.05471808463335037,0.9413443803787231,0.05471251532435417,6,3,8
10,12500,0.04339880638718605,0.054716747254133224,0.9413458108901978,0.05471251532435417,6,4,8
11,13750,0.04339761651828885,0.05471639335155487,0.9413461685180664,0.05471251532435417,6,5,8
12,15000,0.043397440569847824,0.054716404527425766,0.9413461685180664,0.05471251532435417,6,6,8
13,16250,0.04339742294624448,0.054716404527425766,0.9413461685180664,0.05471251532435417,6,7,8
14,17500,0.043397421953082084,0.054716404527425766,0.9413461685180664,0.05471251532435417,6,8,8
